"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AK056618",9.48788602696085,-1.05190134490073,0.29234214019271,-3.59818582503133,0.000320444639308075,0.0511967960555846
"AK093256",16.3928607300347,-1.24858076348047,0.364701439519903,-3.42356960565912,0.000618044214410219,0.0616890035455598
"AK127124",6.13691947101765,-2.11922806980141,0.952533220135185,-2.22483376432861,0.0260923998392577,NA
"AK128346",98.1132682953979,-1.35559492717264,0.242021562757754,-5.60113285661861,2.1295543492216e-08,0.000176422930061263
"ALOX15",15.6611944637477,-1.35555925441668,0.442300504247218,-3.06479246892064,0.00217821085590136,0.105127395742706
"APLN",13.2860599826998,-1.35743232769194,0.461729997720235,-2.93988333960146,0.0032833584274269,0.125858996692182
"ARHGEF4",28.7886151796056,-2.41709468293817,0.59200920602532,-4.08286671615507,4.44835381502985e-05,0.0210585069603513
"AX748380",443.8628317628,-1.41035415734854,0.380718189726184,-3.70445698526482,0.000211844050726516,0.0450553924541506
"BC015433",41.3192026164233,-1.1359896716856,0.509808644313914,-2.22826679060019,0.0258627295012303,0.305881808594373
"BC016143",132.779047947038,-1.80758073384737,0.576891881782776,-3.13330936164569,0.00172847159119005,0.0945183029519076
"BC137484",16.783580008948,-1.53562603144607,0.777354915237994,-1.97545033979225,0.0482170649038683,0.377021495229917
"BC144457",24.4057850898467,-1.38628538567755,0.280842092890502,-4.93617381714232,7.96701082456187e-07,0.00146672669280184
"BNC1",22.1561609642369,-1.33147090085054,0.405508290838613,-3.28346159852117,0.00102540613891107,0.0763140791749221
"BX538274",11.3297823198811,-1.13745205453498,0.44833010946997,-2.53708602324236,0.011177948350897,0.212770705706189
"C10orf62",12.1589975139349,-1.51169575161343,0.393445796193696,-3.84219571345784,0.000121938540327337,0.033673327911394
"C20orf62",15.6473057492272,-1.02109038991353,0.322295593616233,-3.1681798018293,0.0015339661919159,0.0901286731696971
"C21orf15",14.853246419036,-1.08796349170943,0.506909672278766,-2.14626698050285,0.0318516843875924,0.326174634498157
"C6orf185",58.1083311008461,-1.09251641092073,0.554992613159332,-1.96852423801014,0.0490077501012603,0.380247467569822
"CCDC162P",46.0916622207217,-1.44149690705603,0.604565895112902,-2.38435035569916,0.0171093048667661,0.259327388235356
"CES1P1",470.334866137835,-1.30463294994214,0.613772030386018,-2.12559856975174,0.0335366988114128,0.331582554113403
"CIDEA",9.7141287311082,-2.17510355252871,1.00042009499363,-2.17419018611632,0.0296908550992635,0.316568711801607
"CLEC18B",9.27510454670587,-1.31002570029011,0.327811815733731,-3.9962735856788,6.43473656974412e-05,0.0267014640926307
"CTAGE4",11.6645712772396,-1.00929596121777,0.487564717946298,-2.07007587724782,0.0384452394676301,0.344883147124615
"CYP1A1",1198.7333572878,-1.67282686546614,0.532479762713913,-3.14157829574624,0.00168039872789366,0.0928084217415671
