"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AB075489",10.6750112640886,1.15913676618597,0.485027719756042,2.38983612476621,0.0168558919994401,0.259327388235356
"AGAP7",8.09772017926101,1.58923496351836,0.777999213517066,2.04272052709923,0.0410801116103811,0.352306609354247
"AJ004954",13.8840925575994,1.08958569786649,0.456788701104187,2.38531665786096,0.0170644258665388,0.259327388235356
"AK056098",5.43090878623763,1.07746292461417,0.436144223407705,2.47042805289424,0.0134951462204104,NA
"AK056490",19.4697628853309,1.47287844338494,0.481266560652007,3.06042132116871,0.00221025824506752,0.105127395742706
"AK125599",60.877231706956,1.06131301649283,0.45101560296498,2.353162528116,0.018614495931462,0.264968713993465
"AK127026",15.5644478530992,1.66910530020437,0.719361177147817,2.32026046612937,0.0203267913663807,0.274074909229705
"AK128525",340.789649841826,1.12824892836153,0.457940904665614,2.46374350241844,0.013749446620009,0.236386623654658
"AK5",6.4177062718921,1.26911390982976,0.514761682463488,2.46543974243806,0.0136845190299176,NA
"AKR1B10",141.915848888987,1.2946173392369,0.627889211900801,2.06185631907534,0.0392214172728757,0.347147255766174
"ALOX15B",19.0665570593389,1.13196749793201,0.416168117059165,2.71997649875491,0.00652865561542151,0.169536909603609
"AV1S4A1N1T",6.66838990981357,1.24147356977324,0.481929734332152,2.57604684113058,0.00999371068723042,NA
"AX747383",8.23236901576684,1.48831791516223,0.653835005453023,2.27628974091256,0.0228286737395002,0.292083625629173
"BC033949",10.7316821290527,1.37326234045937,0.490805073659377,2.79797910445488,0.00514234392682761,0.153519813556048
"BC040914",5.76006310158232,1.46322599232494,0.512729090787564,2.85379944031923,0.00431997944140326,NA
"C15orf48",18.3754925433948,1.06669751226806,0.42661847768784,2.50035469173601,0.0124069018764444,0.223744450026754
"C2CD4A",4.77137873624706,1.55225024932162,0.755826103694583,2.05371346892361,0.0400034321677965,NA
"CA12",17.7304585401346,1.9302622434587,0.634539855891599,3.04198739533306,0.00235021735706637,0.107323398073418
"CADPS",11.5790566865464,1.1228289277979,0.519603154396094,2.16093554917483,0.0307003183715239,0.321132307511225
"CAPG",140.249232072911,1.00010377671868,0.307649596701865,3.25078851862709,0.00115085429738409,0.0784712133883
"CCL18",26.3257275015869,1.39841055725414,0.450846305952705,3.10174562548336,0.00192383195093053,0.0999377203863363
"CCL19",224.992927210262,1.04982931324332,0.426351506840223,2.46235628677337,0.0138027476441746,0.23654468074213
"CCL2",39.0883116599691,1.14262153125408,0.310947400668179,3.6746457079196,0.000238179689160027,0.0477095820296482
"CCL21",497.679310709803,1.24685914549556,0.386826273426713,3.22330521774081,0.00126720449299771,0.0828795410014571
"CD1B",6.32387171022383,1.10467870104701,0.401784301720708,2.74943221105464,0.00596986098423545,NA
"CD40LG",33.2031499614164,1.02032988802702,0.319932182417087,3.18920678850882,0.00142663784537238,0.0871483733015655
"CDC20",19.7730983892745,1.04526249860537,0.332533695487457,3.14332806807181,0.00167038512219541,0.0926089457754935
"CHI3L1",511.7870768657,1.41157840834582,0.528574602063304,2.67053771186828,0.00757298642022137,0.182250241837367
"CHL1",85.1206898695271,1.28355593946724,0.438224307491756,2.92899302371854,0.00340062054596514,0.127785779626248
"CIDEC",9.16106937365362,1.3167316775202,0.620512215567709,2.12200766477339,0.0338370943973556,0.332530733730596
"CLCNKA",10.1188681878654,1.43480478618469,0.661643877705166,2.16854539810924,0.0301172144158053,0.319344300070923
"COL1A1",1395.34719664345,1.04833965927054,0.360967584391701,2.90424875972505,0.00368135533473816,0.131457708063096
"CPZ",29.2951118103732,1.13933466446135,0.373692837756551,3.04885336122923,0.00229716579726201,0.107323398073418
"CREB3L1",8.35297463084812,1.04669854876906,0.507408983888619,2.06283014689157,0.0391287687065479,0.34669763032021
"CTAG2",6.0046731704583,5.97732292392963,2.2176341307639,2.69536026750754,0.0070312561910313,NA
"CXCL10",355.361167464817,1.09696679100575,0.279817732005142,3.92029048032451,8.84422996361696e-05,0.0293080092534339
